Game Name,GA Game Code,Vendor,Category,Released Date,Game Status,Remark,Month
Lucky Penny Power Scatter,IFG_oa_lucky_penny_powerscatter,3oaks,电子 Slots,1/6/2026,新上架游戏 Newly Added Games,,June 2026
Jungle Volcano,IFG_oa_jungle_volcano,3oaks,电子 Slots,1/6/2026,新上架游戏 Newly Added Games,,June 2026
Supreme Diamond XXL,IFG_oa_supreme_diamond_xxl,3oaks,电子 Slots,1/6/2026,新上架游戏 Newly Added Games,,June 2026
Golden Tiger 1000,AMUSNET_5161,Amusnet,电子 Slots,1/6/2026,新上架游戏 Newly Added Games,,June 2026
Phoenix Star Super Pot,AMUSNET_5121,Amusnet,电子 Slots,1/6/2026,新上架游戏 Newly Added Games,,June 2026
Candy Palace 1000,AMUSNET_5309,Amusnet,电子 Slots,1/6/2026,新上架游戏 Newly Added Games,,June 2026
Hot Racing,AMUSNET_5213,Amusnet,迷你游戏 Mini game,1/6/2026,新上架游戏 Newly Added Games,,June 2026
Gorgon's Luck,AMUSNET_482,Amusnet,电子 Slots,1/6/2026,新上架游戏 Newly Added Games,,June 2026
Clover Super Pot,AMUSNET_5054,Amusnet,电子 Slots,1/6/2026,新上架游戏 Newly Added Games,,June 2026
Porko Collect Super Pot,AMUSNET_5197,Amusnet,电子 Slots,1/6/2026,新上架游戏 Newly Added Games,,June 2026
Cocktail Rush Buy Bonus,AMUSNET_5090,Amusnet,电子 Slots,1/6/2026,新上架游戏 Newly Added Games,,June 2026
Bier O'Meter Dice,AMUSNET_5074,Amusnet,电子 Slots,1/6/2026,新上架游戏 Newly Added Games,,June 2026
Vizier Of The North 1000,AMUSNET_5071,Amusnet,电子 Slots,1/6/2026,新上架游戏 Newly Added Games,,June 2026
VIP Saray Rulet,AMUSNET_5281,Amusnet,真人 Live,1/6/2026,新上架游戏 Newly Added Games,,June 2026
Cashybara Golf Edition,AMUSNET_5037,Amusnet,迷你游戏 Mini game,1/6/2026,新上架游戏 Newly Added Games,,June 2026
40 Power Hot Coin Boost,AMUSNET_5105,Amusnet,电子 Slots,1/6/2026,新上架游戏 Newly Added Games,,June 2026
Toad Super Pot,AMUSNET_5124,Amusnet,电子 Slots,1/6/2026,新上架游戏 Newly Added Games,,June 2026
